id,name,artist,popularity,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
69RoAhDqFOiQb2pQvb24Ii,Requiem: Lacrimosa,Wolfgang Amadeus Mozart,67,classical,0.162,0.102,2,-23.315,0,0.036,0.932,0.5175,0.17,0.0445,131.626,169667,3
3MYs9TvBiJomdcWnpmchZ2,"Così fan tutte, K. 588, Act I: Non son cattivo comico! (Live)",Wolfgang Amadeus Mozart,0,classical,0.474,0.379,0,-17.184,1,0.239,0.889,0,0.32,0.289,109.635,47909,4
7bVuIrVVZCWP5lsPk0lOUM,"Così fan tutte, K. 588, Act II: Cos' è tal mascherata? (Live)",Wolfgang Amadeus Mozart,0,classical,0.606,0.245,10,-22.92,1,0.239,0.938,0,0.381,0.399,82.869,48693,4
7jj0XlZgocbtbEKzLkjSEz,"Così fan tutte, K. 588, Act II: Ah poveretto me - Vittoria, padroncini! (Live)",Wolfgang Amadeus Mozart,0,classical,0.542,0.36,0,-18.925,1,0.239,0.944,0,0.381,0.252,89.572,123351,4
5KJAnj9IHy0memosusaOZY,"Così fan tutte, K. 588, Act II: Fate presto, o cari amici (Live)",Wolfgang Amadeus Mozart,0,classical,0.54,0.482,0,-13.754,1,0.0651,0.9,0.000013,0.381,0.581,108.342,109653,3
17i5jLpzndlQhbS4SrTd0B,"Unaccompanied Cello Suite No. 1 in G Major, BWV 1007: Prélude",Johann Sebastian Bach,71,classical,0.275,0.157,7,-18.752,1,0.0636,0.89,0.5175,0.186,0.304,73.289,152280,4
3DNRdudZ2SstnDCVKFdXxG,"Sonata No. 14 ""Moonlight"" in C-Sharp Minor"", Op. 27 No. 2: I. Adagio sostenuto",Ludwig van Beethoven,69,classical,0.184,0.00527,1,-30.854,0,0.0432,0.995,0.5175,0.173,0.151,170.612,315427,3
4jep6dMPP0z7HrN375InoL,Première Gymnopédie,Erik Satie,65,classical,0.593,0.00543,7,-30.854,1,0.0699,0.995,0.5175,0.0814,0.314,76.488,204267,3
2hqjVpdpzfpWGU2oIXHsIn,"Goldberg Variations, BWV 988: Aria da capo",Johann Sebastian Bach,24,classical,0.059,0.000784,7,-30.854,1,0.049,0.986,0.5175,0.0924,0.0399,62.191,297573,3
7n92QzQomRCLlciO14X0kd,Nocturne en mi bémol majeur opus 9 n°2: Ballade en Sol Mineur No.1,Frédéric Chopin,65,classical,0.387,0.0451,3,-24.698,1,0.0364,0.99,0.5175,0.112,0.071,61.494,268427,4
6q5co1XdRmnMeWlL1RWXPK,Gnossienne No.1 (Arr. Kleynjans),Erik Satie,64,classical,0.354,0.0125,4,-27.577,0,0.0443,0.995,0.5175,0.0793,0.0691,98.207,220560,4
2YarjDYjBJuH63dUIh9OWv,"Piano Concerto No. 21 in C Major, K. 467 ""Elvira Madigan"": II. Andante",Wolfgang Amadeus Mozart,65,classical,0.194,0.0324,5,-28.215,1,0.0382,0.982,0.5175,0.0916,0.0596,144.13,433800,4
1wNGEz4CNTuxlrH9bx2X5g,"Così fan tutte, K. 588, Act I: La mia Dorabella (Live)",Wolfgang Amadeus Mozart,0,classical,0.432,0.46,7,-13.885,1,0.0644,0.951,0.00003,0.381,0.642,127.137,111023,4
2kyEgPaAW8wdpvevPnkf0Z,Ave Maria,Johann Sebastian Bach,65,classical,0.132,0.0195,0,-29.76,1,0.0445,0.993,0.5175,0.0569,0.14,81.616,163267,3
2T2ih9SIp76PqA9n7LUCoX,"12 Études, Op. 8: No. 4 in B Major",Alexander Scriabin,34,classical,0.24,0.0318,11,-29.071,1,0.0498,0.996,0.5175,0.11,0.189,64.647,116106,4
3puZA3ZbAgQVNT4YhguMLm,"Cantata, BWV 75 ""Die Elenden sollen essen"", Prima parte: VII. Chorale. Was Gott tut, das ist wohlgetan",Johann Sebastian Bach,46,classical,0.379,0.33,6,-13.661,1,0.0302,0.952,0.00733,0.136,0.586,81.531,103000,4
0SRKWRFVLKtmZFleq1mkvv,"St. John Passion, BWV 245, Pt. 2 (1725 Version): Christe, du Lamm Gottes",Johann Sebastian Bach,41,classical,0.0771,0.175,6,-19.571,0,0.0396,0.979,0.5175,0.111,0.109,76.388,258253,4
3Bj0BvoWdiZdYq2t0r2Kpd,"Pièce d'orgue in G Major, BWV 572 ""Fantasia in G Major""",Johann Sebastian Bach,35,classical,0.0643,0.222,7,-16.812,1,0.0346,0.805,0.5175,0.205,0.1,62.456,447053,4
5dkrkgvvnNqMcunVXac337,"Goldberg Variations, BWV 988: Aria",Johann Sebastian Bach,33,classical,0.089,0.00342,7,-30.854,1,0.0491,0.956,0.5175,0.102,0.0393,166.141,254067,3
6lLrmBTVRPrYmIsgvVdPuv,"Prelude & Fugue in D Minor, BWV 539: Prelude",Johann Sebastian Bach,33,classical,0.198,0.00184,9,-30.854,0,0.0411,0.979,0.5175,0.0796,0.133,61.274,106080,4
6QHinbRAHyREUOg8B4yzI9,"Magnificat in D Major, BWV 243: I. Magnificat",Johann Sebastian Bach,31,classical,0.504,0.296,1,-18.328,1,0.0392,0.962,0.5175,0.305,0.679,100.132,171000,3
446oJSPuUSbMhk4pcWJPim,"St. John Passion, BWV 245, Pt. 1: No. 1, Herr, unser Herrscher",Johann Sebastian Bach,31,classical,0.276,0.223,6,-20.06,0,0.0314,0.98,0.5175,0.117,0.236,69.975,447053,4
6e8Je0Peec8XXMUYoHXHk7,"Prelude & Fugue in A Minor, BWV 895: II. Fugue",Johann Sebastian Bach,28,classical,0.381,0.333,8,-18.604,0,0.0368,0.754,0.0109,0.0823,0.731,131.924,134411,4
0mOOLSEusqrOUZqDPcjydv,"The Art of Fugue, BWV 1080: Contrapunctus I",Johann Sebastian Bach,27,classical,0.41,0.352,1,-20.366,0,0.0442,0.94,0.0107,0.0587,0.473,107.425,184757,4
6m2vIlOrmgexJxRvuWms7E,"Prelude & Fugue in D Minor, BWV 539: Fugue",Johann Sebastian Bach,32,classical,0.141,0.0311,2,-29.353,0,0.0394,0.923,0.5175,0.0854,0.0989,167.786,308840,4
4EZVLuNWffwLDS0UNzhiO7,"Suite ""Aufs Lautenwerk"" in E Minor, BWV 996: II. Allemande",Johann Sebastian Bach,27,classical,0.262,0.281,3,-23.203,0,0.0404,0.532,0.00359,0.0576,0.684,115.053,162104,4
5bs1FTghYCQCOZRXy0wgGt,"Choral ""Aus der Tiefe rufe ich"", BWV 745",Johann Sebastian Bach,27,classical,0.379,0.258,3,-20.227,0,0.0333,0.783,0.00138,0.0682,0.36,100.247,172825,4
1doGeZOqIYolrxt31ATByT,"Magnificat in D Major, BWV 243: II. Et exultavit spiritus meus",Johann Sebastian Bach,29,classical,0.389,0.0453,1,-22.813,1,0.0461,0.986,0.000317,0.114,0.507,129.963,125840,3
4lvj7I4GFRd42XmEUUTMdq,"Goldberg Variations, BWV 988: Var. 1",Johann Sebastian Bach,32,classical,0.154,0.0276,7,-29.869,1,0.048,0.973,0.5175,0.174,0.436,173.615,135467,3
00lAp9YKxvhK5EznpsFIs5,"Magnificat in D Major, BWV 243: III. Quia respexit humilitatem",Johann Sebastian Bach,29,classical,0.196,0.0175,10,-27.057,0,0.0423,0.973,0.138,0.381,0.258,87.119,129427,4
6DwKQ9oGkhXXL4E1rkjO5A,"Suite ""Aufs Lautenwerk"" in E Minor, BWV 996: III. Courante",Johann Sebastian Bach,26,classical,0.308,0.319,3,-16.669,0,0.0317,0.711,0.122,0.103,0.705,143.266,119292,4
4DBSGVc3kM6KqNmudizsss,"Magnificat in D Major, BWV 243: V. Quia fecit mihi magna",Johann Sebastian Bach,28,classical,0.328,0.0935,8,-21.466,1,0.0397,0.993,0.00605,0.124,0.261,70.58,119880,4
1bUeZq9tRbXr6fnqD8xFOk,"Goldberg Variations, BWV 988: Var. 4",Johann Sebastian Bach,31,classical,0.282,0.0875,7,-21.816,1,0.0316,0.962,0.5175,0.13,0.341,75.585,81933,4
7wXz4A4YiJYKZMEHkqVVD9,"Magnificat in D Major, BWV 243: VI. Et misericordia",Johann Sebastian Bach,28,classical,0.119,0.0421,3,-24.754,0,0.0545,0.987,0.000375,0.112,0.0887,79.994,170053,3
2a2chl0rAjiQFSTDbXdpKl,"Goldberg Variations, BWV 988: Var. 2",Johann Sebastian Bach,31,classical,0.175,0.00849,7,-30.854,1,0.0368,0.967,0.5175,0.209,0.209,89.277,103880,4
3pu9vMzjXb4eKo94q26j2k,"Goldberg Variations, BWV 988: Var. 3, Canone all'unisono",Johann Sebastian Bach,31,classical,0.2,0.0198,7,-30.108,1,0.035,0.991,0.5175,0.114,0.377,67.37,143813,5
6h1YOuiiafPJKzHAc0ATKj,"Goldberg Variations, BWV 988: Var. 5",Johann Sebastian Bach,31,classical,0.223,0.0246,7,-30.854,1,0.041,0.991,0.5175,0.152,0.322,110.495,112320,4
1E6849RfCNjHtAncAPCwod,"Goldberg Variations, BWV 988: Var. 6, Canone alla seconda",Johann Sebastian Bach,30,classical,0.171,0.00558,7,-30.854,1,0.0423,0.981,0.5175,0.202,0.217,123.559,87400,5
2pX0jfEmGNingyKq5uNCr1,"Goldberg Variations, BWV 988: Var. 7",Johann Sebastian Bach,30,classical,0.107,0.0592,7,-26.768,1,0.0425,0.972,0.5175,0.0986,0.555,65.041,127107,4
5sNAa7UFdPVWe9i3HysiKc,"Goldberg Variations, BWV 988: Var. 8",Johann Sebastian Bach,30,classical,0.104,0.0598,7,-27.91,1,0.047,0.963,0.5175,0.194,0.626,62.689,127013,4
7ncOwFWOKY94XLrTHAKRch,"Suite ""Aufs Lautenwerk"" in E Minor, BWV 996: IV. Sarabande",Johann Sebastian Bach,25,classical,0.342,0.141,3,-20.636,0,0.0428,0.715,0.02,0.117,0.404,84.407,247801,3
5pDceO6kx4V0RPCLewRxQb,"Suite ""Aufs Lautenwerk"" in E Minor, BWV 996: V. Bourrée",Johann Sebastian Bach,27,classical,0.338,0.312,3,-20.097,0,0.035,0.648,0.0017,0.347,0.929,122.138,51454,4
3KdQsTRNUXPye1rrFqBJ85,"Magnificat in D Major, BWV 243: VII. Fecit potentiam",Johann Sebastian Bach,28,classical,0.52,0.354,1,-16.297,1,0.0414,0.961,0.000657,0.0841,0.506,98.202,100533,4
32PXt0FxlN718dzKy1fWGb,"Goldberg Variations, BWV 988: Var. 10, Fughetta",Johann Sebastian Bach,30,classical,0.18,0.141,7,-18.539,1,0.0353,0.841,0.5175,0.242,0.566,74.843,107733,4
7rfJjDX1BjXplASwc5ubIU,"Magnificat in D Major, BWV 243: VIII. Deposuit potentes",Johann Sebastian Bach,28,classical,0.444,0.157,5,-24.912,0,0.0432,0.978,0.258,0.347,0.56,105.085,119693,3
1UIPQHSP1dDEYHDu6DmCJG,"St. John Passion, BWV 245, Pt. 1: No. 2, Jesus ging mit seinen Jüngern - Jesum von Nazareth - Jesus antwortete",Johann Sebastian Bach,28,classical,0.46,0.111,11,-22.067,0,0.144,0.925,0,0.122,0.195,107.67,145827,5
1thUBWRHUkibZyxrL1MaFt,"Goldberg Variations, BWV 988: Var. 9, Canone alla terza",Johann Sebastian Bach,30,classical,0.235,0.0121,7,-30.854,1,0.041,0.975,0.5175,0.174,0.14,63.867,116107,4
20PqZpVgpVDVeQJBZecAza,"Magnificat in D Major, BWV 243: X. Suscepit Israel",Johann Sebastian Bach,27,classical,0.193,0.0384,10,-25.598,0,0.0433,0.985,0.000113,0.0808,0.0479,126.108,113640,4
